Genuine Pair Comparisons
--------------------------------
File 1               | File 2               | Hamming Distance
002_2_3.jpg.mat      | 002_1_2.jpg.mat      | 0.3574
002_2_3.jpg.mat      | 002_2_1.jpg.mat      | 0.3262
002_2_3.jpg.mat      | 002_1_3.jpg.mat      | 0.3121
002_2_2.jpg.mat      | 002_1_2.jpg.mat      | 0.3673
002_2_2.jpg.mat      | 002_2_1.jpg.mat      | 0.3128
002_2_2.jpg.mat      | 002_1_3.jpg.mat      | 0.2893
002_1_2.jpg.mat      | 002_2_1.jpg.mat      | 0.4403
002_1_2.jpg.mat      | 002_1_3.jpg.mat      | 0.3724
002_2_1.jpg.mat      | 002_1_3.jpg.mat      | 0.3555
003_2_3.jpg.mat      | 003_1_3.jpg.mat      | 0.2423
003_2_3.jpg.mat      | 003_2_4.jpg.mat      | 0.1896
003_2_3.jpg.mat      | 003_1_2.jpg.mat      | 0.2697
003_2_3.jpg.mat      | 003_2_1.jpg.mat      | 0.2913
003_2_3.jpg.mat      | 003_2_2.jpg.mat      | 0.2275
003_2_3.jpg.mat      | 003_1_1.jpg.mat      | 0.2581
003_1_3.jpg.mat      | 003_2_4.jpg.mat      | 0.2428
003_1_3.jpg.mat      | 003_1_2.jpg.mat      | 0.1928
003_1_3.jpg.mat      | 003_2_1.jpg.mat      | 0.3016
003_1_3.jpg.mat      | 003_2_2.jpg.mat      | 0.2506
003_1_3.jpg.mat      | 003_1_1.jpg.mat      | 0.2594
003_2_4.jpg.mat      | 003_1_2.jpg.mat      | 0.2660
003_2_4.jpg.mat      | 003_2_1.jpg.mat      | 0.2716
003_2_4.jpg.mat      | 003_2_2.jpg.mat      | 0.2141
003_2_4.jpg.mat      | 003_1_1.jpg.mat      | 0.2366
003_1_2.jpg.mat      | 003_2_1.jpg.mat      | 0.3056
003_1_2.jpg.mat      | 003_2_2.jpg.mat      | 0.2514
003_1_2.jpg.mat      | 003_1_1.jpg.mat      | 0.2858
003_2_1.jpg.mat      | 003_2_2.jpg.mat      | 0.2683
003_2_1.jpg.mat      | 003_1_1.jpg.mat      | 0.2974
003_2_2.jpg.mat      | 003_1_1.jpg.mat      | 0.2458
004_1_3.jpg.mat      | 004_2_3.jpg.mat      | 0.3915
004_1_3.jpg.mat      | 004_2_4.jpg.mat      | 0.3105
004_1_3.jpg.mat      | 004_1_2.jpg.mat      | 0.2354
004_1_3.jpg.mat      | 004_2_2.jpg.mat      | 0.2703
004_1_3.jpg.mat      | 004_2_1.jpg.mat      | 0.3617
004_2_3.jpg.mat      | 004_2_4.jpg.mat      | 0.4025
004_2_3.jpg.mat      | 004_1_2.jpg.mat      | 0.3918
004_2_3.jpg.mat      | 004_2_2.jpg.mat      | 0.3780
004_2_3.jpg.mat      | 004_2_1.jpg.mat      | 0.3051
004_2_4.jpg.mat      | 004_1_2.jpg.mat      | 0.3106
004_2_4.jpg.mat      | 004_2_2.jpg.mat      | 0.3028
004_2_4.jpg.mat      | 004_2_1.jpg.mat      | 0.4232
004_1_2.jpg.mat      | 004_2_2.jpg.mat      | 0.2654
004_1_2.jpg.mat      | 004_2_1.jpg.mat      | 0.3433
004_2_2.jpg.mat      | 004_2_1.jpg.mat      | 0.3400
005_1_2.jpg.mat      | 005_1_1.jpg.mat      | 0.3576
005_1_2.jpg.mat      | 005_2_2.jpg.mat      | 0.3748
005_1_2.jpg.mat      | 005_1_3.jpg.mat      | 0.2837
005_1_2.jpg.mat      | 005_2_3.jpg.mat      | 0.4030
005_1_2.jpg.mat      | 005_2_1.jpg.mat      | 0.3750
005_1_2.jpg.mat      | 005_2_4.jpg.mat      | 0.3328
005_1_1.jpg.mat      | 005_2_2.jpg.mat      | 0.3535
005_1_1.jpg.mat      | 005_1_3.jpg.mat      | 0.3617
005_1_1.jpg.mat      | 005_2_3.jpg.mat      | 0.4357
005_1_1.jpg.mat      | 005_2_1.jpg.mat      | 0.3698
005_1_1.jpg.mat      | 005_2_4.jpg.mat      | 0.3579
005_2_2.jpg.mat      | 005_1_3.jpg.mat      | 0.3608
005_2_2.jpg.mat      | 005_2_3.jpg.mat      | 0.4131
005_2_2.jpg.mat      | 005_2_1.jpg.mat      | 0.3149
005_2_2.jpg.mat      | 005_2_4.jpg.mat      | 0.3483
005_1_3.jpg.mat      | 005_2_3.jpg.mat      | 0.4356
005_1_3.jpg.mat      | 005_2_1.jpg.mat      | 0.3729
005_1_3.jpg.mat      | 005_2_4.jpg.mat      | 0.2978
005_2_3.jpg.mat      | 005_2_1.jpg.mat      | 0.4156
005_2_3.jpg.mat      | 005_2_4.jpg.mat      | 0.4392
005_2_1.jpg.mat      | 005_2_4.jpg.mat      | 0.3552
006_1_2.jpg.mat      | 006_2_3.jpg.mat      | 0.2903
006_1_2.jpg.mat      | 006_2_4.jpg.mat      | 0.3025
006_1_2.jpg.mat      | 006_2_1.jpg.mat      | 0.2756
006_1_2.jpg.mat      | 006_2_2.jpg.mat      | 0.3247
006_1_2.jpg.mat      | 006_1_3.jpg.mat      | 0.3407
006_1_2.jpg.mat      | 006_1_1.jpg.mat      | 0.3128
006_2_3.jpg.mat      | 006_2_4.jpg.mat      | 0.2222
006_2_3.jpg.mat      | 006_2_1.jpg.mat      | 0.2681
006_2_3.jpg.mat      | 006_2_2.jpg.mat      | 0.2672
006_2_3.jpg.mat      | 006_1_3.jpg.mat      | 0.3049
006_2_3.jpg.mat      | 006_1_1.jpg.mat      | 0.3191
006_2_4.jpg.mat      | 006_2_1.jpg.mat      | 0.3031
006_2_4.jpg.mat      | 006_2_2.jpg.mat      | 0.2435
006_2_4.jpg.mat      | 006_1_3.jpg.mat      | 0.3163
006_2_4.jpg.mat      | 006_1_1.jpg.mat      | 0.3503
006_2_1.jpg.mat      | 006_2_2.jpg.mat      | 0.2731
006_2_1.jpg.mat      | 006_1_3.jpg.mat      | 0.3004
006_2_1.jpg.mat      | 006_1_1.jpg.mat      | 0.3512
006_2_2.jpg.mat      | 006_1_3.jpg.mat      | 0.3002
006_2_2.jpg.mat      | 006_1_1.jpg.mat      | 0.3423
006_1_3.jpg.mat      | 006_1_1.jpg.mat      | 0.2984
007_2_1.jpg.mat      | 007_1_1.jpg.mat      | 0.3703
007_2_1.jpg.mat      | 007_2_2.jpg.mat      | 0.3187
007_2_1.jpg.mat      | 007_2_3.jpg.mat      | 0.3540
007_2_1.jpg.mat      | 007_1_3.jpg.mat      | 0.3517
007_2_1.jpg.mat      | 007_2_4.jpg.mat      | 0.3071
007_2_1.jpg.mat      | 007_1_2.jpg.mat      | 0.3564
007_1_1.jpg.mat      | 007_2_2.jpg.mat      | 0.3192
007_1_1.jpg.mat      | 007_2_3.jpg.mat      | 0.3415
007_1_1.jpg.mat      | 007_1_3.jpg.mat      | 0.3500
007_1_1.jpg.mat      | 007_2_4.jpg.mat      | 0.3274
007_1_1.jpg.mat      | 007_1_2.jpg.mat      | 0.3019
007_2_2.jpg.mat      | 007_2_3.jpg.mat      | 0.3322
007_2_2.jpg.mat      | 007_1_3.jpg.mat      | 0.3139
007_2_2.jpg.mat      | 007_2_4.jpg.mat      | 0.2958
007_2_2.jpg.mat      | 007_1_2.jpg.mat      | 0.3411
007_2_3.jpg.mat      | 007_1_3.jpg.mat      | 0.3601
007_2_3.jpg.mat      | 007_2_4.jpg.mat      | 0.3299
007_2_3.jpg.mat      | 007_1_2.jpg.mat      | 0.4007
007_1_3.jpg.mat      | 007_2_4.jpg.mat      | 0.3560
007_1_3.jpg.mat      | 007_1_2.jpg.mat      | 0.3111
007_2_4.jpg.mat      | 007_1_2.jpg.mat      | 0.3581
008_1_2.jpg.mat      | 008_2_3.jpg.mat      | 0.3093
008_1_2.jpg.mat      | 008_1_1.jpg.mat      | 0.2949
008_1_2.jpg.mat      | 008_2_4.jpg.mat      | 0.3170
008_1_2.jpg.mat      | 008_2_1.jpg.mat      | 0.3003
008_1_2.jpg.mat      | 008_2_2.jpg.mat      | 0.3053
008_1_2.jpg.mat      | 008_1_3.jpg.mat      | 0.2875
008_2_3.jpg.mat      | 008_1_1.jpg.mat      | 0.3293
008_2_3.jpg.mat      | 008_2_4.jpg.mat      | 0.2978
008_2_3.jpg.mat      | 008_2_1.jpg.mat      | 0.3047
008_2_3.jpg.mat      | 008_2_2.jpg.mat      | 0.2439
008_2_3.jpg.mat      | 008_1_3.jpg.mat      | 0.3210
008_1_1.jpg.mat      | 008_2_4.jpg.mat      | 0.3309
008_1_1.jpg.mat      | 008_2_1.jpg.mat      | 0.3205
008_1_1.jpg.mat      | 008_2_2.jpg.mat      | 0.3320
008_1_1.jpg.mat      | 008_1_3.jpg.mat      | 0.3343
008_2_4.jpg.mat      | 008_2_1.jpg.mat      | 0.3508
008_2_4.jpg.mat      | 008_2_2.jpg.mat      | 0.2900
008_2_4.jpg.mat      | 008_1_3.jpg.mat      | 0.3378
008_2_1.jpg.mat      | 008_2_2.jpg.mat      | 0.3463
008_2_1.jpg.mat      | 008_1_3.jpg.mat      | 0.3585
008_2_2.jpg.mat      | 008_1_3.jpg.mat      | 0.3016
009_2_2.jpg.mat      | 009_1_2.jpg.mat      | 0.3556
009_2_2.jpg.mat      | 009_1_1.jpg.mat      | 0.3049
009_2_2.jpg.mat      | 009_1_3.jpg.mat      | 0.3318
009_2_2.jpg.mat      | 009_2_1.jpg.mat      | 0.3301
009_2_2.jpg.mat      | 009_2_3.jpg.mat      | 0.3191
009_2_2.jpg.mat      | 009_2_4.jpg.mat      | 0.3634
009_1_2.jpg.mat      | 009_1_1.jpg.mat      | 0.3468
009_1_2.jpg.mat      | 009_1_3.jpg.mat      | 0.2992
009_1_2.jpg.mat      | 009_2_1.jpg.mat      | 0.3151
009_1_2.jpg.mat      | 009_2_3.jpg.mat      | 0.2917
009_1_2.jpg.mat      | 009_2_4.jpg.mat      | 0.3132
009_1_1.jpg.mat      | 009_1_3.jpg.mat      | 0.3262
009_1_1.jpg.mat      | 009_2_1.jpg.mat      | 0.2840
009_1_1.jpg.mat      | 009_2_3.jpg.mat      | 0.3486
009_1_1.jpg.mat      | 009_2_4.jpg.mat      | 0.3428
009_1_3.jpg.mat      | 009_2_1.jpg.mat      | 0.3222
009_1_3.jpg.mat      | 009_2_3.jpg.mat      | 0.3060
009_1_3.jpg.mat      | 009_2_4.jpg.mat      | 0.3238
009_2_1.jpg.mat      | 009_2_3.jpg.mat      | 0.3365
009_2_1.jpg.mat      | 009_2_4.jpg.mat      | 0.3584
009_2_3.jpg.mat      | 009_2_4.jpg.mat      | 0.3061
010_2_3.jpg.mat      | 010_2_1.jpg.mat      | 0.2853
010_2_3.jpg.mat      | 010_1_3.jpg.mat      | 0.3670
010_2_3.jpg.mat      | 010_2_4.jpg.mat      | 0.3577
010_2_3.jpg.mat      | 010_1_1.jpg.mat      | 0.3811
010_2_3.jpg.mat      | 010_1_2.jpg.mat      | 0.3644
010_2_3.jpg.mat      | 010_2_2.jpg.mat      | 0.3281
010_2_1.jpg.mat      | 010_1_3.jpg.mat      | 0.3547
010_2_1.jpg.mat      | 010_2_4.jpg.mat      | 0.3084
010_2_1.jpg.mat      | 010_1_1.jpg.mat      | 0.3739
010_2_1.jpg.mat      | 010_1_2.jpg.mat      | 0.3736
010_2_1.jpg.mat      | 010_2_2.jpg.mat      | 0.2947
010_1_3.jpg.mat      | 010_2_4.jpg.mat      | 0.3850
010_1_3.jpg.mat      | 010_1_1.jpg.mat      | 0.3107
010_1_3.jpg.mat      | 010_1_2.jpg.mat      | 0.3789
010_1_3.jpg.mat      | 010_2_2.jpg.mat      | 0.3291
010_2_4.jpg.mat      | 010_1_1.jpg.mat      | 0.3626
010_2_4.jpg.mat      | 010_1_2.jpg.mat      | 0.3632
010_2_4.jpg.mat      | 010_2_2.jpg.mat      | 0.3448
010_1_1.jpg.mat      | 010_1_2.jpg.mat      | 0.2603
010_1_1.jpg.mat      | 010_2_2.jpg.mat      | 0.3732
010_1_2.jpg.mat      | 010_2_2.jpg.mat      | 0.3485
011_2_1.jpg.mat      | 011_1_1.jpg.mat      | 0.3141
011_2_1.jpg.mat      | 011_1_3.jpg.mat      | 0.3129
011_2_1.jpg.mat      | 011_2_4.jpg.mat      | 0.3296
011_2_1.jpg.mat      | 011_2_2.jpg.mat      | 0.3628
011_2_1.jpg.mat      | 011_2_3.jpg.mat      | 0.2997
011_1_1.jpg.mat      | 011_1_3.jpg.mat      | 0.3265
011_1_1.jpg.mat      | 011_2_4.jpg.mat      | 0.3582
011_1_1.jpg.mat      | 011_2_2.jpg.mat      | 0.3564
011_1_1.jpg.mat      | 011_2_3.jpg.mat      | 0.3576
011_1_3.jpg.mat      | 011_2_4.jpg.mat      | 0.3640
011_1_3.jpg.mat      | 011_2_2.jpg.mat      | 0.3217
011_1_3.jpg.mat      | 011_2_3.jpg.mat      | 0.3382
011_2_4.jpg.mat      | 011_2_2.jpg.mat      | 0.3778
011_2_4.jpg.mat      | 011_2_3.jpg.mat      | 0.3301
011_2_2.jpg.mat      | 011_2_3.jpg.mat      | 0.3674
012_1_2.jpg.mat      | 012_2_2.jpg.mat      | 0.2924
012_1_2.jpg.mat      | 012_2_1.jpg.mat      | 0.2976
012_1_2.jpg.mat      | 012_2_3.jpg.mat      | 0.3114
012_1_2.jpg.mat      | 012_1_1.jpg.mat      | 0.2970
012_1_2.jpg.mat      | 012_1_3.jpg.mat      | 0.3376
012_1_2.jpg.mat      | 012_2_4.jpg.mat      | 0.3510
012_2_2.jpg.mat      | 012_2_1.jpg.mat      | 0.3350
012_2_2.jpg.mat      | 012_2_3.jpg.mat      | 0.3405
012_2_2.jpg.mat      | 012_1_1.jpg.mat      | 0.3413
012_2_2.jpg.mat      | 012_1_3.jpg.mat      | 0.3398
012_2_2.jpg.mat      | 012_2_4.jpg.mat      | 0.3376
012_2_1.jpg.mat      | 012_2_3.jpg.mat      | 0.3307
012_2_1.jpg.mat      | 012_1_1.jpg.mat      | 0.3483
012_2_1.jpg.mat      | 012_1_3.jpg.mat      | 0.3210
012_2_1.jpg.mat      | 012_2_4.jpg.mat      | 0.3371
012_2_3.jpg.mat      | 012_1_1.jpg.mat      | 0.3609
012_2_3.jpg.mat      | 012_1_3.jpg.mat      | 0.3460
012_2_3.jpg.mat      | 012_2_4.jpg.mat      | 0.3227
012_1_1.jpg.mat      | 012_1_3.jpg.mat      | 0.3327
012_1_1.jpg.mat      | 012_2_4.jpg.mat      | 0.3815
012_1_3.jpg.mat      | 012_2_4.jpg.mat      | 0.3384
013_1_3.jpg.mat      | 013_2_2.jpg.mat      | 0.2840
013_1_3.jpg.mat      | 013_2_4.jpg.mat      | 0.4043
013_1_3.jpg.mat      | 013_1_1.jpg.mat      | 0.4113
013_1_3.jpg.mat      | 013_2_3.jpg.mat      | 0.2962
013_1_3.jpg.mat      | 013_2_1.jpg.mat      | 0.2506
013_1_3.jpg.mat      | 013_1_2.jpg.mat      | 0.3332
013_2_2.jpg.mat      | 013_2_4.jpg.mat      | 0.4042
013_2_2.jpg.mat      | 013_1_1.jpg.mat      | 0.3971
013_2_2.jpg.mat      | 013_2_3.jpg.mat      | 0.2725
013_2_2.jpg.mat      | 013_2_1.jpg.mat      | 0.2941
013_2_2.jpg.mat      | 013_1_2.jpg.mat      | 0.3414
013_2_4.jpg.mat      | 013_1_1.jpg.mat      | 0.3750
013_2_4.jpg.mat      | 013_2_3.jpg.mat      | 0.4451
013_2_4.jpg.mat      | 013_2_1.jpg.mat      | 0.4237
013_2_4.jpg.mat      | 013_1_2.jpg.mat      | 0.4290
013_1_1.jpg.mat      | 013_2_3.jpg.mat      | 0.4324
013_1_1.jpg.mat      | 013_2_1.jpg.mat      | 0.4033
013_1_1.jpg.mat      | 013_1_2.jpg.mat      | 0.4161
013_2_3.jpg.mat      | 013_2_1.jpg.mat      | 0.3173
013_2_3.jpg.mat      | 013_1_2.jpg.mat      | 0.3388
013_2_1.jpg.mat      | 013_1_2.jpg.mat      | 0.3273
014_2_4.jpg.mat      | 014_1_3.jpg.mat      | 0.2757
014_2_4.jpg.mat      | 014_2_3.jpg.mat      | 0.4097
014_2_4.jpg.mat      | 014_1_2.jpg.mat      | 0.2728
014_2_4.jpg.mat      | 014_2_1.jpg.mat      | 0.2893
014_2_4.jpg.mat      | 014_2_2.jpg.mat      | 0.2641
014_2_4.jpg.mat      | 014_1_1.jpg.mat      | 0.2641
014_1_3.jpg.mat      | 014_2_3.jpg.mat      | 0.4200
014_1_3.jpg.mat      | 014_1_2.jpg.mat      | 0.2967
014_1_3.jpg.mat      | 014_2_1.jpg.mat      | 0.2219
014_1_3.jpg.mat      | 014_2_2.jpg.mat      | 0.2493
014_1_3.jpg.mat      | 014_1_1.jpg.mat      | 0.2839
014_2_3.jpg.mat      | 014_1_2.jpg.mat      | 0.3991
014_2_3.jpg.mat      | 014_2_1.jpg.mat      | 0.4291
014_2_3.jpg.mat      | 014_2_2.jpg.mat      | 0.4183
014_2_3.jpg.mat      | 014_1_1.jpg.mat      | 0.4017
014_1_2.jpg.mat      | 014_2_1.jpg.mat      | 0.3022
014_1_2.jpg.mat      | 014_2_2.jpg.mat      | 0.2419
014_1_2.jpg.mat      | 014_1_1.jpg.mat      | 0.2607
014_2_1.jpg.mat      | 014_2_2.jpg.mat      | 0.2713
014_2_1.jpg.mat      | 014_1_1.jpg.mat      | 0.2864
014_2_2.jpg.mat      | 014_1_1.jpg.mat      | 0.2371
015_2_4.jpg.mat      | 015_1_2.jpg.mat      | 0.3763
015_2_4.jpg.mat      | 015_2_1.jpg.mat      | 0.3900
015_2_4.jpg.mat      | 015_2_2.jpg.mat      | 0.2932
015_2_4.jpg.mat      | 015_1_3.jpg.mat      | 0.2741
015_2_4.jpg.mat      | 015_1_1.jpg.mat      | 0.3586
015_2_4.jpg.mat      | 015_2_3.jpg.mat      | 0.2954
015_1_2.jpg.mat      | 015_2_1.jpg.mat      | 0.3464
015_1_2.jpg.mat      | 015_2_2.jpg.mat      | 0.3657
015_1_2.jpg.mat      | 015_1_3.jpg.mat      | 0.3392
015_1_2.jpg.mat      | 015_1_1.jpg.mat      | 0.4148
015_1_2.jpg.mat      | 015_2_3.jpg.mat      | 0.3471
015_2_1.jpg.mat      | 015_2_2.jpg.mat      | 0.3593
015_2_1.jpg.mat      | 015_1_3.jpg.mat      | 0.3892
015_2_1.jpg.mat      | 015_1_1.jpg.mat      | 0.4235
015_2_1.jpg.mat      | 015_2_3.jpg.mat      | 0.4105
015_2_2.jpg.mat      | 015_1_3.jpg.mat      | 0.2791
015_2_2.jpg.mat      | 015_1_1.jpg.mat      | 0.3576
015_2_2.jpg.mat      | 015_2_3.jpg.mat      | 0.3110
015_1_3.jpg.mat      | 015_1_1.jpg.mat      | 0.3322
015_1_3.jpg.mat      | 015_2_3.jpg.mat      | 0.2387
015_1_1.jpg.mat      | 015_2_3.jpg.mat      | 0.3301
016_1_1.jpg.mat      | 016_2_1.jpg.mat      | 0.2897
016_1_1.jpg.mat      | 016_2_3.jpg.mat      | 0.2868
016_1_1.jpg.mat      | 016_1_2.jpg.mat      | 0.3196
016_1_1.jpg.mat      | 016_2_2.jpg.mat      | 0.2989
016_1_1.jpg.mat      | 016_1_3.jpg.mat      | 0.2987
016_2_1.jpg.mat      | 016_2_3.jpg.mat      | 0.3103
016_2_1.jpg.mat      | 016_1_2.jpg.mat      | 0.3269
016_2_1.jpg.mat      | 016_2_2.jpg.mat      | 0.2188
016_2_1.jpg.mat      | 016_1_3.jpg.mat      | 0.2894
016_2_3.jpg.mat      | 016_1_2.jpg.mat      | 0.3187
016_2_3.jpg.mat      | 016_2_2.jpg.mat      | 0.3064
016_2_3.jpg.mat      | 016_1_3.jpg.mat      | 0.2400
016_1_2.jpg.mat      | 016_2_2.jpg.mat      | 0.3224
016_1_2.jpg.mat      | 016_1_3.jpg.mat      | 0.3260
016_2_2.jpg.mat      | 016_1_3.jpg.mat      | 0.2875
017_2_3.jpg.mat      | 017_2_1.jpg.mat      | 0.2963
017_2_3.jpg.mat      | 017_2_4.jpg.mat      | 0.2800
017_2_3.jpg.mat      | 017_1_2.jpg.mat      | 0.2738
017_2_3.jpg.mat      | 017_2_2.jpg.mat      | 0.2204
017_2_3.jpg.mat      | 017_1_1.jpg.mat      | 0.3340
017_2_3.jpg.mat      | 017_1_3.jpg.mat      | 0.3120
017_2_1.jpg.mat      | 017_2_4.jpg.mat      | 0.2740
017_2_1.jpg.mat      | 017_1_2.jpg.mat      | 0.2675
017_2_1.jpg.mat      | 017_2_2.jpg.mat      | 0.2515
017_2_1.jpg.mat      | 017_1_1.jpg.mat      | 0.3018
017_2_1.jpg.mat      | 017_1_3.jpg.mat      | 0.2652
017_2_4.jpg.mat      | 017_1_2.jpg.mat      | 0.3004
017_2_4.jpg.mat      | 017_2_2.jpg.mat      | 0.2406
017_2_4.jpg.mat      | 017_1_1.jpg.mat      | 0.3135
017_2_4.jpg.mat      | 017_1_3.jpg.mat      | 0.2977
017_1_2.jpg.mat      | 017_2_2.jpg.mat      | 0.2641
017_1_2.jpg.mat      | 017_1_1.jpg.mat      | 0.2886
017_1_2.jpg.mat      | 017_1_3.jpg.mat      | 0.2778
017_2_2.jpg.mat      | 017_1_1.jpg.mat      | 0.3238
017_2_2.jpg.mat      | 017_1_3.jpg.mat      | 0.2982
017_1_1.jpg.mat      | 017_1_3.jpg.mat      | 0.2809
018_1_1.jpg.mat      | 018_2_4.jpg.mat      | 0.2647
018_1_1.jpg.mat      | 018_1_3.jpg.mat      | 0.2785
018_1_1.jpg.mat      | 018_2_3.jpg.mat      | 0.2686
018_1_1.jpg.mat      | 018_1_2.jpg.mat      | 0.3371
018_1_1.jpg.mat      | 018_2_2.jpg.mat      | 0.2937
018_2_4.jpg.mat      | 018_1_3.jpg.mat      | 0.3971
018_2_4.jpg.mat      | 018_2_3.jpg.mat      | 0.2974
018_2_4.jpg.mat      | 018_1_2.jpg.mat      | 0.3764
018_2_4.jpg.mat      | 018_2_2.jpg.mat      | 0.4674
018_1_3.jpg.mat      | 018_2_3.jpg.mat      | 0.2884
018_1_3.jpg.mat      | 018_1_2.jpg.mat      | 0.3192
018_1_3.jpg.mat      | 018_2_2.jpg.mat      | 0.3350
018_2_3.jpg.mat      | 018_1_2.jpg.mat      | 0.3332
018_2_3.jpg.mat      | 018_2_2.jpg.mat      | 0.3185
018_1_2.jpg.mat      | 018_2_2.jpg.mat      | 0.4045
019_1_2.jpg.mat      | 019_1_3.jpg.mat      | 0.4312
019_1_2.jpg.mat      | 019_2_2.jpg.mat      | 0.4085
019_1_2.jpg.mat      | 019_2_1.jpg.mat      | 0.3818
019_1_2.jpg.mat      | 019_1_1.jpg.mat      | 0.4674
019_1_2.jpg.mat      | 019_2_3.jpg.mat      | 0.2877
019_1_2.jpg.mat      | 019_2_4.jpg.mat      | 0.3944
019_1_3.jpg.mat      | 019_2_2.jpg.mat      | 0.3074
019_1_3.jpg.mat      | 019_2_1.jpg.mat      | 0.3154
019_1_3.jpg.mat      | 019_1_1.jpg.mat      | 0.3226
019_1_3.jpg.mat      | 019_2_3.jpg.mat      | 0.4169
019_1_3.jpg.mat      | 019_2_4.jpg.mat      | 0.3208
019_2_2.jpg.mat      | 019_2_1.jpg.mat      | 0.2756
019_2_2.jpg.mat      | 019_1_1.jpg.mat      | 0.3907
019_2_2.jpg.mat      | 019_2_3.jpg.mat      | 0.3671
019_2_2.jpg.mat      | 019_2_4.jpg.mat      | 0.3398
019_2_1.jpg.mat      | 019_1_1.jpg.mat      | 0.3811
019_2_1.jpg.mat      | 019_2_3.jpg.mat      | 0.3884
019_2_1.jpg.mat      | 019_2_4.jpg.mat      | 0.3522
019_1_1.jpg.mat      | 019_2_3.jpg.mat      | 0.4144
019_1_1.jpg.mat      | 019_2_4.jpg.mat      | 0.4216
019_2_3.jpg.mat      | 019_2_4.jpg.mat      | 0.4196
020_1_3.jpg.mat      | 020_2_2.jpg.mat      | 0.3150
020_1_3.jpg.mat      | 020_1_2.jpg.mat      | 0.2803
020_1_3.jpg.mat      | 020_2_4.jpg.mat      | 0.4154
020_1_3.jpg.mat      | 020_2_3.jpg.mat      | 0.2643
020_1_3.jpg.mat      | 020_2_1.jpg.mat      | 0.3147
020_2_2.jpg.mat      | 020_1_2.jpg.mat      | 0.2957
020_2_2.jpg.mat      | 020_2_4.jpg.mat      | 0.3863
020_2_2.jpg.mat      | 020_2_3.jpg.mat      | 0.3266
020_2_2.jpg.mat      | 020_2_1.jpg.mat      | 0.2287
020_1_2.jpg.mat      | 020_2_4.jpg.mat      | 0.4133
020_1_2.jpg.mat      | 020_2_3.jpg.mat      | 0.3371
020_1_2.jpg.mat      | 020_2_1.jpg.mat      | 0.2679
020_2_4.jpg.mat      | 020_2_3.jpg.mat      | 0.4262
020_2_4.jpg.mat      | 020_2_1.jpg.mat      | 0.3690
020_2_3.jpg.mat      | 020_2_1.jpg.mat      | 0.3277
021_1_2.jpg.mat      | 021_1_1.jpg.mat      | 0.3549
021_1_2.jpg.mat      | 021_2_4.jpg.mat      | 0.3517
021_1_2.jpg.mat      | 021_2_2.jpg.mat      | 0.3523
021_1_2.jpg.mat      | 021_1_3.jpg.mat      | 0.2887
021_1_2.jpg.mat      | 021_2_1.jpg.mat      | 0.2937
021_1_2.jpg.mat      | 021_2_3.jpg.mat      | 0.3848
021_1_1.jpg.mat      | 021_2_4.jpg.mat      | 0.3271
